"source","h","state","irf","se_irf","ci_low","ci_high","ci_low_68","ci_high_68"
"GDP-weighted country aggregates",16,"Average fragmentation",-0.405278171442749,0.44783760556459,-1.28303987834935,0.472483535463847,-0.853115777007339,0.0425594341218405
"GDP-weighted country aggregates",17,"Average fragmentation",-0.27060030736362,0.436589789522852,-1.12631629482841,0.58511568010117,-0.707190096886472,0.165989482159232
"GDP-weighted country aggregates",18,"Average fragmentation",-0.435751051973962,0.493212539427363,-1.40244762925159,0.530945525303669,-0.928963591401324,0.0574614874534009
"GDP-weighted country aggregates",19,"Average fragmentation",0.0656219647738577,0.425822928885164,-0.768990975841064,0.90023490538878,-0.360200964111307,0.491444893659022
"GDP-weighted country aggregates",20,"Average fragmentation",-0.832429820125516,0.546731416953061,-1.90402339735352,0.239163757102485,-1.37916123707858,-0.285698403172454
"GDP-weighted country aggregates",21,"Average fragmentation",-0.156659965688768,0.524808262047867,-1.18528415930259,0.871964227925051,-0.681468227736634,0.368148296359099
"GDP-weighted country aggregates",22,"Average fragmentation",-0.114486012321841,0.407753527829342,-0.913682926867353,0.68471090222367,-0.522239540151184,0.293267515507501
"GDP-weighted country aggregates",23,"Average fragmentation",-0.0465322168795412,0.518804169347536,-1.06338838880071,0.970323955041629,-0.565336386227077,0.472271952467995
"GDP-weighted country aggregates",24,"Average fragmentation",-0.12598545835745,0.476982653669693,-1.06087145955005,0.808900542835148,-0.602968112027144,0.350997195312243
"GDP-weighted country aggregates",0,"High fragmentation (+1 sd)",-2.3852447001418,0.903260092443818,-4.15563448133168,-0.614854918951914,-3.28850479258562,-1.48198460769798
"GDP-weighted country aggregates",1,"High fragmentation (+1 sd)",-10.5674930449665,2.5080939421851,-15.4833571716492,-5.65162891828365,-13.0755869871516,-8.05939910278135
"GDP-weighted country aggregates",2,"High fragmentation (+1 sd)",-1.74024891216595,2.07570261637356,-5.80862604025812,2.32812821592622,-3.8159515285395,0.335453704207607
"GDP-weighted country aggregates",3,"High fragmentation (+1 sd)",-2.6620672192062,1.38086122783295,-5.36855522575877,0.0444207873463718,-4.04292844703915,-1.28120599137326
"GDP-weighted country aggregates",4,"High fragmentation (+1 sd)",-3.01986453511244,0.903575445554311,-4.79087240839889,-1.24885666182599,-3.92343998066675,-2.11628908955813
"GDP-weighted country aggregates",5,"High fragmentation (+1 sd)",-3.08516800011726,0.919194891853955,-4.88678998815101,-1.28354601208351,-4.00436289197121,-2.1659731082633
"GDP-weighted country aggregates",6,"High fragmentation (+1 sd)",-3.01106981756294,0.844983564691857,-4.66723760435898,-1.3549020307669,-3.85605338225479,-2.16608625287108
"GDP-weighted country aggregates",7,"High fragmentation (+1 sd)",-2.44794790176429,1.4903823309217,-5.36909727037082,0.473201466842237,-3.93833023268599,-0.957565570842594
"GDP-weighted country aggregates",8,"High fragmentation (+1 sd)",-1.67304409650743,2.40461660349388,-6.38609263935543,3.04000444634057,-4.0776607000013,0.731572506986452
"GDP-weighted country aggregates",9,"High fragmentation (+1 sd)",-2.12230203238002,1.21449314079876,-4.5027085883456,0.258104523585554,-3.33679517317879,-0.907808891581259
"GDP-weighted country aggregates",10,"High fragmentation (+1 sd)",-2.50458023705253,1.0365477926627,-4.53621391067142,-0.472946563433642,-3.54112802971523,-1.46803244438983
"GDP-weighted country aggregates",11,"High fragmentation (+1 sd)",-3.31232542564581,1.06598817126226,-5.40166224131985,-1.22298860997178,-4.37831359690808,-2.24633725438355
"GDP-weighted country aggregates",12,"High fragmentation (+1 sd)",-3.19356837799154,0.902498966705547,-4.96246635273442,-1.42467040324867,-4.09606734469709,-2.291069411286
"GDP-weighted country aggregates",13,"High fragmentation (+1 sd)",-2.41899099115931,0.881102065180664,-4.14595103891341,-0.692030943405212,-3.30009305633998,-1.53788892597865
"GDP-weighted country aggregates",14,"High fragmentation (+1 sd)",-2.93493450487731,0.97887611679051,-4.85353169378671,-1.01633731596791,-3.91381062166782,-1.9560583880868
"GDP-weighted country aggregates",15,"High fragmentation (+1 sd)",-2.39597051018011,0.840823289197718,-4.04398415700764,-0.747956863352585,-3.23679379937783,-1.55514722098239
